No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
125  1:49:13.642    2:57:30.988    2:57:32.710    1.722      1.722      Paused by player, Unpause by player
126  1:49:19.892    2:57:38.937    2:57:46.629    7.692      7.692      Paused by player, Unpause by player
127  1:49:21.192    2:57:47.912    2:57:54.588    6.676      6.676      Paused by player, Unpause by player
128  1:49:22.592    2:57:55.952    2:57:58.534    2.582      2.582      Paused by player, Unpause by player
129  1:49:27.142    2:58:03.060    2:58:11.132    8.072      8.072      Paused by player, Unpause by player
130  1:49:28.142    2:58:12.087    2:58:12.731    0.644      0.644      Paused by player, Unpause by player
131  1:49:28.992    2:58:13.542    2:58:14.086    0.544      0.544      Paused by player, Unpause by player
132  1:49:29.392    2:58:14.454    2:58:21.430    6.976      6.976      Paused by player, Unpause by player
133  1:49:29.892    2:58:21.923    2:58:23.137    1.214      1.214      Paused by player, Unpause by player
134  1:49:30.242    2:58:23.466    2:58:26.466    3.000      3.000      Paused by player, Unpause by player
135  1:49:30.842    2:58:27.048    2:58:27.972    0.924      0.924      Paused by player, Unpause by player
136  1:49:31.492    2:58:28.580    2:58:29.585    1.005      1.005      Paused by player, Unpause by player
137  1:49:32.442    2:58:30.488    2:58:31.739    1.251      1.251      Paused by player, Unpause by player
138  1:49:32.742    2:58:31.993    2:58:35.354    3.361      3.361      Paused by player, Unpause by player
139  1:49:33.492    2:58:36.096    2:58:36.864    0.768      0.768      Paused by player, Unpause by player
140  1:49:34.042    2:58:37.386    2:58:38.396    1.010      1.010      Paused by player, Unpause by player
141  1:49:34.592    2:58:38.910    2:58:39.754    0.844      0.844      Paused by player, Unpause by player
142  1:49:35.242    2:58:40.371    2:58:41.205    0.834      0.834      Paused by player, Unpause by player
143  1:49:35.942    2:58:41.890    2:58:42.368    0.478      0.478      Paused by player, Unpause by player
144  1:49:36.342    2:58:42.722    2:58:43.240    0.518      0.518      Paused by player, Unpause by player
145  1:49:36.892    2:58:43.775    2:58:44.150    0.375      0.375      Paused by player, Unpause by player
146  1:49:37.942    2:58:45.164    2:58:45.518    0.354      0.354      Paused by player, Unpause by player
147  1:49:54.192    2:59:01.727    2:59:02.165    0.438      0.438      Paused by player, Unpause by player
148  1:50:42.242    2:59:50.188    2:59:51.958    1.770      1.770      Paused by player, Unpause by player
149  1:50:44.892    2:59:54.565    2:59:56.717    2.152      2.152      Paused by player, Unpause by player
150  1:51:14.542    3:00:26.367    3:00:26.698    0.331      0.331      Paused by player, Unpause by player
151  1:51:14.742    3:00:26.870    3:00:31.434    4.564      4.564      Paused by player, Unpause by player
152  1:51:15.042    3:00:31.731    3:00:32.036    0.305      0.305      Paused by player, Unpause by player
153  1:51:25.842    3:00:42.789    3:00:43.635    0.846      0.846      Paused by player, Unpause by player
154  1:51:26.242    3:00:43.993    3:00:45.990    1.997      1.997      Paused by player, Unpause by player
155  1:51:27.492    3:00:47.206    3:00:50.206    3.000      3.000      Paused by player, Unpause by player
156  1:51:28.242    3:00:50.920    3:00:53.141    2.221      2.221      Paused by player, Unpause by player
157  1:51:28.542    3:00:53.432    3:00:57.352    3.920      3.920      Paused by player, Unpause by player
158  1:51:29.542    3:00:58.324    3:01:01.887    3.563      3.563      Paused by player, Unpause by player
159  1:51:30.542    3:01:02.846    3:01:03.360    0.514      0.514      Paused by player, Unpause by player
160  1:51:31.092    3:01:03.907    3:01:04.581    0.674      0.674      Paused by player, Unpause by player
161  1:51:31.542    3:01:05.003    3:01:07.456    2.453      2.453      Paused by player, Unpause by player
162  1:51:32.392    3:01:08.274    3:01:12.706    4.432      4.432      Paused by player, Unpause by player
163  1:51:33.542    3:01:13.843    3:01:16.129    2.286      2.286      Paused by player, Unpause by player
164  1:51:34.442    3:01:17.030    3:01:19.127    2.097      2.097      Paused by player, Unpause by player
165  1:51:35.492    3:01:20.132    3:01:20.769    0.637      0.637      Paused by player, Unpause by player
166  1:51:35.992    3:01:21.236    3:01:21.569    0.333      0.333      Paused by player, Unpause by player
167  1:51:36.492    3:01:22.052    3:01:22.359    0.307      0.307      Paused by player, Unpause by player
168  1:51:37.642    3:01:23.483    3:01:26.089    2.606      2.606      Paused by player, Unpause by player
169  1:51:38.242    3:01:26.660    3:01:32.294    5.634      5.634      Paused by player, Unpause by player
170  1:51:38.992    3:01:33.031    3:01:39.095    6.064      6.064      Paused by player, Unpause by player
